Importers	2011-M08-Exported quantity, Kilograms	2011-M09-Exported quantity, Kilograms	2011-M10-Exported quantity, Kilograms	2011-M11-Exported quantity, Kilograms	2011-M12-Exported quantity, Kilograms	2012-M01-Exported quantity, Kilograms	2012-M02-Exported quantity, Kilograms	2012-M03-Exported quantity, Kilograms	2012-M04-Exported quantity, Kilograms	2012-M05-Exported quantity, Kilograms	2012-M06-Exported quantity, Kilograms	2012-M07-Exported quantity, Kilograms	2012-M08-Exported quantity, Kilograms	2012-M09-Exported quantity, Kilograms	2012-M10-Exported quantity, Kilograms	2012-M11-Exported quantity, Kilograms	2012-M12-Exported quantity, Kilograms	2013-M01-Exported quantity, Kilograms	2013-M02-Exported quantity, Kilograms	2013-M03-Exported quantity, Kilograms	
"Armenia"	610296	0	263391	293235	450224	253921	348591	724930	16198	249116	1291364	55880	222011	548427	528473	535522	33002	173933	441224	53541	
"Thailand"	66944	11687	122594	28361	72160	53346	26058	53351	102304	53220	60251	70058	27341	89476	40543	41973	53343	45853	43454	49232	
"Jamaica"	50265	98242	48531	118577	16254	203396	17293	45773	15903	14627	47628	50745	31348	48516	65147	98853	135288	102753	33002	47788	
"Mauritius"	0	11162	11137	50584	14741	13735	29547	13813	13834	14400	30177	31571	0	14192	12510	12479	27301	14275	13467	44920	
"Sri Lanka"	30512	59889	63556	88779	17225	69897	48758	34090	66652	30087	46851	68850	50003	0	25797	43955	76879	30254	41372	41807	
"Samoa"	4589	23256	26870	8733	67016	16934	36041	14323	17840	38807	9689	30076	33390	33574	59998	34021	23272	43553	15816	35576	
"Guatemala"	14496	30838	0	31558	16006	45760	33251	61368	31104	0	47022	13825	63252	30459	15783	31751	15697	31253	30593	30692	
"Bermuda"	15030	0	14373	15626	14799	0	0	15491	0	15220	0	0	14740	13918	0	12383	28311	0	0	30587	
"Trinidad and Tobago"	26742	25327	25038	0	0	25347	0	24813	49505	0	25433	24913	25347	24662	25385	24438	0	24689	24813	24964	
"New Caledonia"	33579	42765	22069	59872	42328	55722	17207	40136	25911	34455	56517	50375	38019	46689	17332	18640	32542	58715	18359	23909	
"Peru"	0	0	16802	0	0	18210	16783	0	0	0	0	32986	0	0	0	18268	0	16802	0	18347	
"Oman"	2820	16718	0	1815	21269	16519	17423	19199	17293	0	68455	16603	17155	16813	16382	17635	35275	16313	37262	17635	
"Aruba"	0	0	0	15498	0	0	0	0	0	16105	0	0	16407	0	13016	0	0	0	0	16947	
"Tajikistan"	0	0	177777	74238	0	0	18489	0	0	0	0	0	0	0	16542	33085	0	0	0	16542	
"Turkmenistan"	0	0	0	95890	18190	16542	18427	40046	0	0	0	16534	0	18190	0	33077	0	0	0	16517	
"Brunei Darussalam"	0	0	12260	0	0	0	15445	13071	12974	12974	61019	80751	0	0	12974	0	0	0	11528	16389	
"Netherlands Antilles"	12618	14977	17069	14615	17937	0	16166	0	48616	15607	18137	15072	0	29757	14550	15833	15053	0	0	15972	
"Grenada"	0	11515	0	0	0	0	15963	0	0	0	15683	0	0	0	0	0	0	0	0	15579	
"Qatar"	42375	15432	19331	16830	41006	97738	42016	34586	25346	0	51107	12472	38789	52655	50018	38706	12976	17293	22576	15517	
"Saint Lucia"	14177	14386	0	14258	0	14304	0	0	0	14613	0	0	0	0	13154	0	0	13154	0	14087	
"Bahamas"	13476	0	26240	14556	13504	14258	14897	0	14523	16674	12083	14343	13532	14215	14542	0	27662	14542	0	13513	
"United States Minor Outlying Islands"	14678	8454	17869	872	32149	30094	23085	51810	555	28181	0	14793	32987	24929	2374	19246	13952	18411	20532	11280	
"Japan"	180421	635368	550597	135	0	17842	15507	802950	1343962	241418	362431	1232234	18084	121320	1320882	8776	0	17451	0	9868	
"Solomon Islands"	9024	8215	2341	2393	0	8161	7704	3361	1994	9889	3608	2265	6118	3762	9086	521	0	3181	3855	4287	
"Vanuatu"	3733	479	5886	0	6220	4175	0	5769	0	1001	1848	7177	1023	3550	9142	13135	1328	1231	145	1649	
"Norfolk Island"	0	1267	2364	0	1480	0	0	0	0	1799	0	0	1480	1337	0	1768	0	363	0	523	
"Canada"	466933	172853	474261	340107	302676	362126	112161	17305	0	0	259177	522874	511186	535877	1105556	224112	863385	241002	86389	99	
"Myanmar"	14823	15926	0	48426	30818	32721	16506	14411	34114	16706	14411	66845	17293	27350	62431	16821	29234	27180	29852	0	
"Cambodia"	0	0	16614	0	17712	0	0	0	0	15012	0	0	1611	14059	0	0	15614	0	839	0	
"Barbados"	13618	0	28880	14267	0	0	0	14106	0	0	13836	0	14405	0	41272	0	12955	13230	13789	0	
"Antigua and Barbuda"	0	14185	0	14096	0	0	0	0	0	14684	0	0	0	0	0	13685	0	0	0	0	
"Brazil"	0	0	0	0	22199	0	0	0	0	0	0	51881	69174	0	17293	0	0	0	0	0	
"Belize"	0	13457	13312	13451	13314	0	0	0	0	13457	13312	0	0	0	31031	0	13398	0	0	0	
"Honduras"	0	0	0	0	0	0	0	0	0	6549	0	0	0	0	0	0	0	0	0	0	
"Djibouti"	0	0	14588	0	0	0	0	0	0	0	0	0	0	17293	0	0	0	0	0	0	
"Gambia"	0	16446	0	0	16371	0	0	0	0	16446	0	0	0	0	16295	0	0	0	0	0	
"Kiribati"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	532	0	
"France"	388315	0	181586	332546	0	0	337231	181586	0	0	0	0	0	0	0	0	0	56822	518534	0	
"Dominican Republic"	0	0	0	0	0	0	0	0	0	0	0	0	13043	0	0	0	0	0	0	0	
"El Salvador"	16024	0	0	15538	0	15062	0	0	13536	0	0	0	15324	0	14869	0	15432	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	0	0	0	74637	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Cook Islands"	8798	4351	5464	909	3850	836	4841	5317	1761	997	17598	13584	6184	5797	12836	2238	3486	1311	2450	0	
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	25720	0	0	0	0	0	0	0	0	
"Northern Mariana Islands"	9675	0	15170	0	16710	0	11481	0	8594	8594	6032	0	13815	0	0	5198	0	0	9953	0	
"Marshall Islands"	0	0	0	0	0	0	422	0	0	0	427	0	0	0	0	0	0	134	0	0	
"Panama"	0	30853	0	0	0	0	15444	17293	0	14096	0	0	14355	14822	14411	14411	14567	0	14954	0	
"Nigeria"	0	25940	0	0	14823	0	0	0	0	0	0	0	0	0	0	0	17268	0	0	0	
"Niue"	0	0	0	0	0	0	165	141	0	0	0	224	0	0	125	155	0	0	58	0	
"Netherlands"	103068	103686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kazakhstan"	22703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101267	0	0	0	0	
"Jordan"	0	0	0	0	0	0	0	0	13991	0	0	0	0	0	15396	0	0	17293	0	0	
"Kenya"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16565	0	0	0	0	0	
"Iraq"	0	0	17356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Mexico"	51985	0	36979	46731	109848	0	0	9801	210779	65878	221339	9848	95939	92406	122337	0	0	172508	155685	0	
"Mongolia"	0	0	0	0	0	17293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	17293	34109	17293	0	0	86355	17487	18661	0	0	0	0	0	34587	34587	0	103761	0	0	
"Madagascar"	0	0	0	0	0	12032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Maldives"	15176	0	0	13687	0	14955	8392	0	13303	0	78871	21470	0	28727	0	24155	15070	0	0	0	
"Uruguay"	0	0	0	0	0	103711	0	51881	51881	51804	51881	0	0	0	56822	0	0	56822	0	0	
"Uzbekistan"	0	0	98450	81141	148285	85875	101799	25940	218015	0	0	125025	0	341258	800952	50601	16384	249557	106316	0	
"Venezuela, Bolivarian Republic of"	51879	0	0	0	0	0	0	0	155516	0	0	0	0	0	0	0	0	0	0	0	
"Wallis and Futuna Islands"	3365	1716	1853	1159	2150	0	1219	1098	1771	968	0	1501	1535	1234	2388	1264	0	871	0	0	
"Yemen"	0	0	0	0	0	51881	51881	0	0	51881	0	0	0	0	51881	51881	51881	0	0	0	
"Tokelau"	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	89	0	
"Tonga"	338	42800	7406	36459	0	19154	22365	42722	5795	19808	55629	16084	40418	34164	28764	8400	29987	29314	13020	0	
"Tuvalu"	779	0	0	1193	708	0	156	1533	574	0	0	0	0	0	0	0	0	0	0	0	
"Somalia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14655	0	0	
"South Africa"	266768	133410	516146	206935	161026	69097	123760	1275394	484492	661371	109220	326450	112408	604539	34587	379898	414228	0	241108	0	
"Sudan (before 2012)"	0	0	0	0	0	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	
"Syrian Arab Republic"	69175	51881	236245	121056	360854	161407	69174	132585	103762	146970	155643	0	0	0	0	0	0	0	0	0	
"Seychelles"	0	9472	0	0	0	0	11959	0	0	0	0	13268	0	0	12578	14025	0	0	12381	0	
"Sierra Leone"	0	0	0	0	0	16674	0	0	0	0	0	0	0	0	0	0	16655	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14123	0	0	0	
