Importers	2010-M01-Exported quantity, Kilograms	2010-M02-Exported quantity, Kilograms	2010-M03-Exported quantity, Kilograms	2010-M04-Exported quantity, Kilograms	2010-M05-Exported quantity, Kilograms	2010-M06-Exported quantity, Kilograms	2010-M07-Exported quantity, Kilograms	2010-M08-Exported quantity, Kilograms	2010-M09-Exported quantity, Kilograms	2010-M10-Exported quantity, Kilograms	2010-M11-Exported quantity, Kilograms	2010-M12-Exported quantity, Kilograms	2011-M01-Exported quantity, Kilograms	2011-M02-Exported quantity, Kilograms	2011-M03-Exported quantity, Kilograms	2011-M04-Exported quantity, Kilograms	2011-M05-Exported quantity, Kilograms	2011-M06-Exported quantity, Kilograms	2011-M07-Exported quantity, Kilograms	2011-M08-Exported quantity, Kilograms	
"Bahrain"	34663	129889	241085	0	65499	130380	291773	187801	40352	221835	93239	394593	32116	32292	301792	111612	387618	104300	0	293176	
"Azerbaijan"	1978543	908999	1703925	1374725	695000	800705	674046	678471	249047	1140738	1300688	1257415	1314849	711224	1756903	1931855	828570	635974	685519	286430	
"South Africa"	0	0	0	0	0	224820	0	0	0	113593	557238	0	194941	0	14823	103763	192394	251919	533509	266768	
"Indonesia"	252954	522187	359205	197564	340406	346691	381828	151905	279783	292311	293714	328720	240670	259967	449835	394582	703210	677408	355677	235826	
"Japan"	17428	0	0	17293	217725	100505	100351	0	0	17268	0	135	0	398317	1764355	761779	277901	0	558526	180421	
"Philippines"	121317	104102	128234	91924	73282	135572	129354	108640	123866	62756	172124	124972	145973	89437	123085	132404	113545	104014	182661	161829	
"United States of America"	1204401	218256	62013	16729	98471	323	376	46661	250539	340941	125873	201039	342751	154517	274678	422336	120405	326245	69091	140836	
"Belgium"	0	0	0	379714	732171	0	243809	0	0	563664	0	0	0	0	0	0	0	100116	285323	129704	
"United Arab Emirates"	303356	300236	243371	120903	398711	251237	154704	245423	77250	63259	160015	334282	140534	257336	142515	316026	119691	296264	323717	127326	
"Malaysia"	240928	180133	244100	225876	232669	460348	218236	199000	194790	243979	260714	184871	176639	184026	280813	345546	344894	466235	347233	105462	
"Georgia"	0	0	61703	0	44848	55177	18489	0	0	80704	185881	36424	0	0	0	0	0	0	0	103761	
"Netherlands"	308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103068	
"French Polynesia"	83206	101068	92749	51974	220529	44013	90975	55577	92519	126623	84365	78529	65389	60216	85278	85862	111963	70687	109697	98387	
"Viet Nam"	44757	102690	128580	99346	112638	103923	196636	67538	100015	70937	59170	111962	59252	108824	188505	119944	126521	175032	116267	87606	
"Fiji"	199592	167647	289610	203790	188624	199297	187211	176863	312032	173105	10252	5697	118878	245616	190272	160376	49532	89767	3116	78887	
"Syrian Arab Republic"	250250	370921	293274	120053	111926	110870	152762	172938	0	172526	103711	198852	206547	68248	327296	172577	69175	307538	138350	69175	
"Thailand"	0	30034	100580	58625	16475	50904	25992	42259	5493	20259	41869	40533	71623	47478	16417	32962	38103	35290	34144	66944	
"Mexico"	241783	117707	0	36486	51682	15006	182877	0	0	147218	225598	146211	44847	31623	110382	210432	29994	235111	441231	51985	
"Venezuela, Bolivarian Republic of"	0	0	17293	34587	34587	34587	0	0	0	0	34562	0	0	0	0	0	0	0	0	51879	
"Jamaica"	88602	103057	16865	19190	70300	88225	31985	66405	83099	86115	188111	69782	52174	165183	15309	15744	31221	16559	51531	50265	
"Papua New Guinea"	60020	53621	37614	26294	40978	47725	26016	42210	27624	74264	39017	85156	11222	76950	55471	84000	70166	9927	7066	43795	
"Kuwait"	34586	0	0	0	27132	44808	51880	0	0	0	0	168672	223847	144592	86441	118860	17293	72057	0	42949	
"Qatar"	53952	54208	16535	0	62928	15674	70658	32761	2797	15615	54046	15605	40665	36975	17293	98197	53825	37469	15898	42375	
"New Caledonia"	20990	28552	30329	27328	18357	48840	11628	54994	36163	39466	38038	22250	30119	57480	18264	28373	40158	45516	42734	33579	
"Sri Lanka"	43765	46697	51583	26541	47034	47422	0	26876	72486	32590	52134	29744	61095	11097	67374	22188	46912	26844	30529	30512	
"Trinidad and Tobago"	50740	0	25088	0	0	23679	0	25395	0	48608	0	0	16185	44801	0	25722	25249	0	22186	26742	
"Kazakhstan"	0	0	0	0	0	0	0	0	0	0	0	14655	0	0	0	0	0	0	0	22703	
"Chile"	140163	61541	0	20403	197488	18661	0	0	0	0	0	0	0	0	55880	18661	37322	619980	0	18412	
"El Salvador"	0	0	0	16135	0	15052	0	17370	0	0	0	0	14847	0	0	15923	0	0	0	16024	
"Maldives"	15340	38002	0	0	31257	8399	0	14218	8325	11435	0	14308	13282	14747	0	0	14588	15211	0	15176	
"Bermuda"	16623	16637	0	0	0	32560	16714	17072	0	16594	0	13088	0	13897	0	0	15562	13467	15306	15030	
"Myanmar"	33288	17293	0	16271	17293	0	17293	0	16334	0	30115	0	17293	49546	0	0	0	34114	0	14823	
"United States Minor Outlying Islands"	15003	38106	3949	38715	16161	14416	403	19439	16612	40384	16937	312	44299	26019	14934	14640	29948	0	40968	14678	
"Guatemala"	20239	15573	19696	26296	17619	15705	48307	17537	31502	0	50105	32646	14774	42465	9381	47341	31177	15517	31320	14496	
"Saint Lucia"	0	0	17531	0	0	33817	0	13287	0	0	0	0	0	0	14990	0	0	0	13628	14177	
"Barbados"	46401	0	0	16302	0	0	15698	0	49524	0	16280	14693	0	28629	14646	14319	14897	13940	0	13618	
"Bahamas"	15759	0	13258	13859	0	14201	12822	13859	0	0	0	14897	15267	0	27416	12633	0	15157	11969	13476	
"Netherlands Antilles"	0	0	32411	14655	33465	0	0	17441	29938	18138	0	30463	0	0	31811	14615	28500	12983	30789	12618	
"Northern Mariana Islands"	0	12591	0	10404	0	0	7848	0	9713	0	11384	0	10908	0	9972	0	9722	0	0	9675	
"Solomon Islands"	4979	2798	4340	0	4577	4577	3872	5540	139	9579	4225	3950	0	700	727	3625	4803	0	5149	9024	
"Cook Islands"	468	0	437	1056	2442	9142	3553	4091	5314	5927	11652	716	1869	2219	3196	10193	2871	4932	1922	8798	
"Samoa"	58573	16972	47809	0	23076	38456	30597	56657	28266	18484	25768	11639	67531	0	36429	47081	16774	54941	26942	4589	
"Vanuatu"	0	5051	3956	5202	3649	1892	3659	0	9979	0	4296	483	3272	680	2858	8626	3772	8408	545	3733	
"Wallis and Futuna Islands"	2244	1493	2096	2398	1082	0	3667	778	3080	2336	1163	1540	1181	505	994	1723	0	2977	0	3365	
"Oman"	31755	52730	15747	0	15514	47296	0	31536	0	15856	31641	2141	16245	33731	30095	17127	30146	30620	18433	2820	
"Tuvalu"	1472	0	0	1914	1520	843	536	0	0	0	781	1248	0	0	535	182	0	1998	0	779	
"Tonga"	3906	0	4209	46545	3442	20589	27071	12831	19628	13799	0	20031	19043	5954	30504	34293	72830	25703	18277	338	
"Turkmenistan"	0	18489	51495	0	0	0	33018	67875	0	0	0	18489	17432	0	36835	0	0	0	0	0	
"Yemen"	0	0	0	0	128210	51753	51881	73473	0	0	0	0	76741	76767	0	127156	25915	0	0	0	
"Uzbekistan"	95030	106073	16701	23001	23160	94817	0	126739	0	0	27652	103984	131393	0	75040	59884	0	87918	60302	0	
"Tajikistan"	0	0	103403	0	170227	0	0	133966	0	36814	172886	78771	280481	100881	0	0	60528	121057	0	0	
"Sudan (before 2012)"	0	18393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Poland"	0	0	0	0	0	34176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Seychelles"	14936	9909	0	0	0	0	0	8231	0	0	0	0	13003	0	0	0	13852	0	0	0	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	15006	0	0	0	0	0	0	0	
"India"	0	0	2001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Aruba"	0	16764	0	15589	0	18023	0	16398	0	0	0	0	15547	0	0	15948	0	14702	0	0	
"Mauritius"	26577	13659	11245	17343	14100	0	12387	11602	26844	14553	14126	48390	13368	12218	13735	27469	13478	14425	12053	0	
"Mongolia"	0	0	0	0	0	0	25940	0	0	0	0	0	0	0	25940	0	0	0	0	0	
"Moldova, Republic of"	0	0	0	0	0	0	0	0	0	0	0	20215	0	0	0	0	0	0	0	0	
"Nigeria"	34587	0	0	0	0	0	0	0	0	16058	0	0	29646	0	0	0	17293	0	14823	0	
"Niue"	0	0	142	0	126	0	159	0	0	0	0	0	0	0	0	0	218	101	131	0	
"Norfolk Island"	1639	0	787	1693	0	622	0	1405	943	0	1356	1029	0	1420	0	890	0	864	1571	0	
"Marshall Islands"	0	0	0	701	162	0	0	0	0	196	0	0	0	0	361	0	0	0	0	0	
"Panama"	0	0	0	0	15567	0	14527	0	0	33586	0	0	27565	0	33467	34561	44366	14600	0	0	
"Peru"	0	16783	0	0	0	0	0	32016	0	31683	0	0	11041	15478	0	207424	16802	13954	0	0	
"Honduras"	0	0	0	0	0	0	0	0	0	0	0	0	11772	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	3128759	4194603	5080424	4556709	2698440	301485	0	0	1431531	5119004	5017443	9268469	3324498	1933217	10838783	2943261	3081717	1269571	140163	0	
"Iraq"	32607	0	34990	16655	17157	17113	0	12492	13802	0	26630	0	52482	0	17435	0	0	0	0	0	
"Jordan"	0	0	0	0	0	0	0	0	15888	0	0	0	0	0	16345	0	0	0	16345	0	
"Kenya"	16811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31497	0	17293	15769	0	
"Madagascar"	19708	0	15115	0	0	0	0	0	0	0	0	0	0	0	0	15468	0	0	0	0	
"Dominican Republic"	0	0	15159	9778	0	0	0	0	0	0	0	16601	0	0	12711	0	10408	0	0	0	
"Congo, Democratic Republic of the"	27512	0	0	0	0	0	0	0	21533	0	12704	0	0	0	0	44469	0	0	27473	0	
"Finland"	0	288195	100116	100116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Djibouti"	0	0	44133	0	0	0	0	0	0	0	0	0	0	14746	0	0	0	14823	0	0	
"Gambia"	0	0	0	0	0	0	0	0	0	0	17053	0	0	0	0	16172	0	0	0	0	
"Germany"	21713	0	0	0	21712	21712	21712	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Kiribati"	0	0	0	8134	0	0	0	0	0	0	0	0	0	0	6974	0	0	0	0	0	
"Grenada"	0	0	11946	0	0	0	11946	0	0	0	0	11927	0	0	0	13538	0	0	0	0	
"Brunei Darussalam"	0	0	16194	16194	47766	63551	31845	0	0	16058	0	0	0	0	0	43446	95780	79063	15852	0	
"Belize"	0	30985	0	0	0	0	0	0	15485	15417	0	0	0	15485	0	15275	0	0	0	0	
"Cambodia"	0	839	0	21308	0	0	839	0	0	13388	839	0	0	15096	1611	0	0	16012	0	0	
"Cayman Islands"	0	0	15956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Argentina"	0	0	0	0	0	280326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Algeria"	0	360419	460535	69174	0	300118	252241	0	60070	129193	60070	246629	169137	69097	204823	207473	146997	134703	100116	0	
"Antigua and Barbuda"	0	0	14363	0	0	0	12972	0	0	13171	0	0	0	0	0	12545	0	14379	0	0	
