Importers	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity, Kilograms	2018-M05-Exported quantity, Kilograms	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity, Kilograms	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity, Kilograms	2019-M03-Exported quantity, Kilograms	2019-M04-Exported quantity, Kilograms	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	
"Bahrain"	71824	0	77599	239166	109497	69150	237312	141430	205170	233443	259409	361859	174008	190791	337233	181587	112870	224822	112801	213916	
"United Arab Emirates"	3494561	1542561	1455385	1377623	1890692	410538	266491	1034723	113864	186675	1172742	1302751	2072422	3402009	2031544	1018843	735322	1212644	1182051	112494	
"Denmark"	563739	103480	98995	73422	102245	51882	0	51882	0	169825	207167	100881	245184	194968	615069	103764	0	207450	98074	98048	
"Thailand"	217221	99982	75600	102317	127766	69874	86982	45039	46144	12495	105021	96647	187157	105758	80451	84774	125941	118194	109283	90745	
"Algeria"	257081	51882	85646	189693	146973	126796	180583	77745	0	164215	117523	74940	144116	331415	443569	184392	504330	34588	102001	77823	
"Jamaica"	100507	117345	8845	15538	112828	27166	96677	32013	72416	61874	61144	48054	99964	98088	110285	55879	32891	49966	46528	66919	
"Mexico"	74539	74560	55977	106459	111913	93165	203797	37311	166916	74290	133791	74581	111083	55957	0	37291	124335	163552	186225	55998	
"Myanmar"	68467	10006	75858	117142	29401	50522	8796	77507	92658	78415	47556	32726	24519	24519	84679	38645	90365	105089	40629	55621	
"Belgium"	0	0	196148	0	0	0	310518	828282	492671	25915	907237	77823	224666	51882	411709	415055	285299	155620	103764	51882	
"Mauritius"	32082	4846	31639	25458	16537	19029	14723	40316	17433	810	16638	40924	15131	0	15979	33571	23052	16494	20481	33362	
"French Polynesia"	63383	79398	47050	76799	54272	102064	72787	94188	109418	92213	51339	106974	27793	56557	86662	28731	73179	135451	79966	31165	
"Curaçao"	0	45583	18728	0	16013	20969	16418	12801	0	14941	12801	0	0	15782	0	0	32799	0	0	30549	
"Kuwait"	39414	0	93433	165528	133142	229537	108469	207473	20176	0	88559	143138	215839	218380	159859	289967	107493	268109	0	25941	
"Guatemala"	16910	56196	27926	14763	109310	46130	16659	37301	47675	0	29926	15150	31481	60455	29784	29339	26942	27436	11261	25386	
"Sri Lanka"	62987	85531	64827	27699	13155	63738	14330	42414	8534	0	34687	20914	0	0	43491	16180	20697	25101	19361	24798	
"New Caledonia"	30361	45727	14991	4642	38187	31232	37958	59230	14523	105331	37103	49871	24516	1332	64250	30030	42508	53387	49841	24393	
"United States Minor Outlying Islands"	13745	23195	33340	0	37544	13332	15819	12014	10202	25699	22700	15393	21432	0	25754	11564	22195	16159	27973	22740	
"Samoa"	30301	20388	21614	10682	46535	16930	18520	24902	16024	12765	30040	24562	23388	24049	17865	52423	23011	19362	22734	22396	
"Trinidad and Tobago"	0	76474	25308	0	21252	46424	45729	21559	67637	0	0	0	19878	0	14244	0	35174	0	24500	21370	
"Bermuda"	30230	14085	0	0	13732	15694	0	9412	0	16281	0	15592	0	14353	12026	0	14088	0	0	15792	
"Antigua and Barbuda"	0	14626	0	0	0	15202	0	0	13655	0	0	0	0	0	0	8310	0	0	0	15325	
"Barbados"	0	26013	12424	11944	10374	12438	12919	0	12475	0	12023	0	0	26678	10746	23458	0	38180	13085	14535	
"Oman"	32522	0	14473	16199	64503	16292	13008	56396	48954	0	18077	18119	0	14011	16345	14989	0	31754	30234	14374	
"Cambodia"	12565	0	21436	17347	2753	24679	20117	24932	0	1836	16309	18740	19305	0	48225	13112	35229	29236	7593	13059	
"Papua New Guinea"	32363	34550	35055	31217	13567	17431	24740	35524	26321	30177	22666	18614	12335	56791	31787	14152	31050	17412	30761	12954	
"Tonga"	49699	2531	19181	17030	15881	9080	30444	30485	26459	19461	55111	36753	8499	20085	9454	23262	22662	42393	32220	11833	
"Brunei Darussalam"	17713	32226	17714	38950	44103	46516	29310	0	17713	0	33618	0	16870	0	77336	61791	61067	14093	9722	11398	
"Maldives"	18323	19304	0	8211	33550	0	21602	44027	12854	0	21420	13487	33939	11167	23798	28305	14714	8211	25138	9310	
"Cook Islands"	8754	0	6438	5968	1394	4878	10815	8820	10491	6369	6513	2613	3218	5184	1254	5547	4100	9980	7533	9128	
"India"	0	0	0	0	0	5260	0	0	0	0	10381	19764	0	0	0	0	30139	0	0	8254	
"Vanuatu"	1980	12162	0	2001	7327	7310	4772	2485	5264	1946	10387	878	11638	4276	3367	4189	125	2110	9017	3444	
"Wallis and Futuna Islands"	893	831	1557	282	544	1272	0	1101	2202	1107	166	1870	0	1621	1521	0	326	235	426	1316	
"Norfolk Island"	0	1381	1044	942	0	3194	699	460	0	1487	1160	708	957	0	1294	0	1268	1844	538	806	
"Marshall Islands"	0	0	196	0	0	0	0	0	0	0	233	74	0	381	0	0	180	0	0	402	
"Niue"	671	1051	643	520	227	212	0	618	88	1167	430	1136	120	165	217	51	0	401	0	100	
"Aruba"	0	0	0	14020	0	0	16283	0	16506	0	0	0	14815	0	0	0	16105	16784	0	0	
"Palau"	84	0	0	411	0	0	0	38	447	0	0	0	0	0	321	0	0	0	0	0	
"Pakistan"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15981	0	0	0	0	0	
"Panama"	0	11686	0	10692	0	10826	0	11358	19696	0	22204	9331	16687	16666	17550	0	0	0	11495	0	
"Northern Mariana Islands"	0	0	9443	0	7483	10091	0	10586	8501	0	9616	0	0	9202	7658	0	9240	0	7801	0	
"Micronesia, Federated States of"	496	0	0	0	201	0	0	0	0	0	0	0	380	0	301	0	0	427	0	0	
"Peru"	0	0	0	0	16461	0	0	0	0	7971	0	32924	0	6533	0	15960	0	8227	0	0	
"Timor-Leste"	0	8211	0	204	0	0	0	0	0	10475	0	0	0	0	0	0	0	8211	0	0	
"Qatar"	32685	17294	56436	5262	25808	118919	88749	103609	0	0	37120	102439	40327	32221	72304	5475	60023	174292	17294	0	
"Saint Lucia"	0	0	14936	0	14308	0	0	16031	0	0	0	0	0	0	0	0	15828	0	0	0	
"Nauru"	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	
"Netherlands"	0	0	0	0	0	0	0	129	0	176532	1656717	0	0	128135	363018	0	0	0	0	0	
"Lebanon"	0	0	0	0	40352	280878	0	60503	0	0	0	0	20176	0	51882	0	51779	51830	0	0	
"Libya, State of"	0	0	0	0	0	0	0	25323	0	0	0	0	0	0	0	34588	0	0	0	0	
"Jordan"	25941	0	77642	0	0	0	0	0	0	0	0	25761	0	25941	77823	41311	25941	17242	13684	0	
"Kenya"	0	5762	0	0	0	0	0	0	0	0	0	0	17626	0	0	0	0	0	0	0	
"Iran, Islamic Republic of"	509119	3127828	2265195	4911149	980016	293992	874613	2492957	0	0	0	0	0	0	10084981	0	0	0	0	0	
"Congo, Democratic Republic of the"	0	0	0	35198	0	0	0	0	0	0	0	0	0	0	0	35177	0	0	0	0	
"Dominican Republic"	0	0	0	12321	0	0	16474	0	0	0	15337	0	0	18199	0	0	0	0	18457	0	
"El Salvador"	0	0	0	0	14536	0	0	0	0	15430	0	0	0	0	0	0	0	0	9671	0	
"France"	78459	0	0	0	0	0	0	0	0	0	0	0	0	232644	0	0	0	0	0	0	
"Guyana"	0	0	0	0	0	686	1374	0	0	0	690	686	0	0	686	0	0	686	0	0	
"Gambia"	0	16745	0	0	0	0	0	0	16502	0	0	0	0	0	17465	0	0	0	0	0	
"Ghana"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25941	0	
"Kiribati"	0	4500	0	0	1444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Grenada"	0	0	13770	0	0	0	13516	0	0	0	0	16281	0	0	16319	0	0	0	0	0	
"Chile"	89027	508322	517994	899962	932303	1114789	414951	776322	621963	466730	1018798	322197	74457	994653	995310	1151606	646901	881244	413047	0	
"Belize"	26443	0	0	0	0	13116	0	13204	0	0	0	13248	0	0	13075	0	19729	0	0	0	
"Solomon Islands"	7695	7756	0	7743	6044	4696	4894	2712	8705	0	14223	4366	6764	5009	6342	5832	4184	3755	4553	0	
"Bangladesh"	0	19764	0	0	19764	0	0	0	0	0	25941	51805	69176	0	51882	0	51830	0	19764	0	
"Armenia"	234455	25967	213848	180144	0	105385	0	0	0	0	0	0	0	0	0	0	49038	0	0	0	
"Bahamas"	0	0	0	0	0	0	0	0	0	0	0	0	0	17186	17274	0	0	0	17274	0	
"United Kingdom"	155028	142376	0	0	0	77643	77282	51882	25941	25941	309695	51882	203975	97201	77771	76793	0	191975	0	0	
"Uruguay"	0	0	0	77668	51727	25941	0	0	0	0	0	0	0	0	51882	0	0	0	0	0	
"Uzbekistan"	210228	0	0	0	0	65459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Zambia"	0	0	0	25941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Tunisia"	19584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40275	40352	0	0	
"Tuvalu"	0	0	0	0	0	0	0	0	0	0	0	892	0	193	0	0	0	0	0	0	
"Ukraine"	0	0	0	0	0	0	0	0	0	0	0	17424	0	0	0	17424	0	0	0	0	
"South Africa"	660156	362581	103738	207502	639464	570366	257504	190053	0	232749	414051	0	205829	233469	309773	181535	25941	0	0	0	
"Spain"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19615	24519	0	0	0	0	
"Syrian Arab Republic"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51882	51856	0	0	0	
"Senegal"	0	0	0	0	0	0	0	0	0	0	0	0	25941	0	0	0	0	0	0	0	
"Seychelles"	0	13130	9844	0	0	14796	0	14038	0	0	16162	15017	0	0	0	0	0	0	0	0	
"Sierra Leone"	0	0	0	0	0	0	0	0	0	0	0	0	0	16174	0	0	0	0	0	0	
