Importers	2014-M11-Exported quantity, Kilograms	2014-M12-Exported quantity, Kilograms	2015-M01-Exported quantity, Kilograms	2015-M02-Exported quantity, Kilograms	2015-M03-Exported quantity, Kilograms	2015-M04-Exported quantity, Kilograms	2015-M05-Exported quantity, Kilograms	2015-M06-Exported quantity, Kilograms	2015-M07-Exported quantity, Kilograms	2015-M08-Exported quantity, Kilograms	2015-M09-Exported quantity, Kilograms	2015-M10-Exported quantity, Kilograms	2015-M11-Exported quantity, Kilograms	2015-M12-Exported quantity, Kilograms	2016-M01-Exported quantity, Kilograms	2016-M02-Exported quantity, Kilograms	2016-M03-Exported quantity, Kilograms	2016-M04-Exported quantity, Kilograms	2016-M05-Exported quantity, Kilograms	2016-M06-Exported quantity, Kilograms	
"Cayman Islands"	0	0	7183	0	0	6842	0	0	4212	0	0	6339	0	8889	0	0	0	4946	0	6966	
"Bahrain"	0	4000	25000	0	2000	0	6000	8776	0	63000	42000	258029	0	1000	2772	0	4000	0	16772	4000	
"Mauritius"	0	6073	0	0	9602	0	0	12750	0	0	12750	12900	0	12900	0	0	15960	0	0	3900	
"Portugal"	1540	0	1540	0	0	2310	1540	3080	3080	0	0	1540	0	770	0	1540	2310	1540	1540	3080	
"Hungary"	0	0	0	0	0	0	0	0	0	0	0	0	2684	0	0	3583	1784	0	0	2700	
"Gibraltar"	3905	0	0	3553	0	1060	0	0	5947	0	1080	0	2583	1621	3033	872	0	2493	1621	1952	
"Greece"	0	0	0	480	490	1920	1920	960	0	0	0	0	1920	960	960	0	1510	1750	0	960	
"Guatemala"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000	0	20000	20000	0	
"Iran, Islamic Republic of"	0	0	0	0	0	0	0	0	0	0	0	0	100000	0	0	423850	50000	0	600000	0	
"Israel"	64000	0	0	0	0	92500	17500	75000	0	0	0	0	16000	0	0	50000	75000	22500	22500	0	
"Italy"	0	22000	0	0	17324	No Quantity	0	0	43900	0	0	0	22000	68000	71500	22000	0	0	40785	0	
"Côte d'Ivoire"	0	0	0	0	0	0	0	0	0	4000	0	3500	0	0	20000	0	0	0	0	0	
"Palestine, State of"	0	0	0	0	0	0	0	0	0	0	0	0	0	10610	0	0	0	0	0	0	
"Jordan"	0	10470	0	0	31968	0	0	0	0	0	0	0	0	16000	0	0	0	2650	0	0	
"Kuwait"	0	7760	0	0	0	96950	0	0	58234	0	0	0	19916	22000	0	0	22000	8404	22000	0	
"Lebanon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	
"Lithuania"	51	51	192	197	0	45	78	154	179	0	0	0	0	0	0	0	0	0	0	0	
"Malaysia"	0	0	0	3919	0	0	0	0	3576	0	0	0	0	3695	0	0	4898	0	0	0	
"Bahamas"	0	43098	15936	21384	22502	39082	0	23691	32580	0	21480	22690	22703	22292	0	38562	23686	22994	21484	0	
"Angola"	19700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17386	0	
"Azerbaijan"	0	0	0	0	25000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
"Australia"	0	0	0	0	0	0	0	0	0	0	0	0	10978	0	0	20000	0	29000	28990	0	
"Chile"	0	24944	20000	0	23971	220662	100000	48359	0	19480	0	45236	0	64138	20000	0	0	43016	0	0	
"Congo, Democratic Republic of the"	26020	0	0	0	20000	0	0	20000	0	26193	0	0	0	0	44000	0	0	0	88626	0	
"Cuba"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125000	0	0	0	
"Qatar"	0	0	0	0	0	0	0	0	0	13444	0	22000	0	0	0	0	0	25993	0	0	
"Romania"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81150	0	
"Saudi Arabia"	16992	100000	25000	0	215680	240180	47000	83000	84000	41000	25000	0	0	150000	28836	69880	20000	320000	150000	0	
"Senegal"	0	0	0	15000	0	0	25000	25000	0	0	0	0	0	25000	0	0	0	0	0	0	
"India"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9655	0	0	
"Singapore"	6438	0	0	0	0	0	0	0	0	3781	0	0	0	0	4358	0	0	0	0	0	
"Zimbabwe"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5000	0	0	
"Philippines"	0	0	0	0	0	0	0	0	0	0	20000	0	0	0	0	0	0	0	0	0	
"Nigeria"	0	0	0	0	0	0	20000	0	0	0	0	0	0	18000	0	0	0	0	0	0	
"Norway"	0	22500	0	0	0	0	0	0	0	0	0	0	22500	0	0	0	0	0	0	0	
"Taipei, Chinese"	0	0	0	0	50000	0	99	0	173	25000	0	0	25000	0	0	0	0	0	25000	0	
"Oman"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59611	0	0	0	
"Special categories"	0	0	0	0	0	0	0	0	0	0	0	0	22260	0	0	0	0	0	0	0	
