Importers	2017-M12-Exported quantity, Kilograms	2018-M01-Exported quantity, Kilograms	2018-M02-Exported quantity, Kilograms	2018-M03-Exported quantity, Kilograms	2018-M04-Exported quantity	2018-M04-Unit	2018-M05-Exported quantity	2018-M05-Unit	2018-M06-Exported quantity, Kilograms	2018-M07-Exported quantity, Kilograms	2018-M08-Exported quantity, Kilograms	2018-M09-Exported quantity, Kilograms	2018-M10-Exported quantity, Kilograms	2018-M11-Exported quantity	2018-M11-Unit	2018-M12-Exported quantity, Kilograms	2019-M01-Exported quantity, Kilograms	2019-M02-Exported quantity	2019-M02-Unit	2019-M03-Exported quantity	2019-M03-Unit	2019-M04-Exported quantity	2019-M04-Unit	2019-M05-Exported quantity, Kilograms	2019-M06-Exported quantity, Kilograms	2019-M07-Exported quantity, Kilograms	
"Curaçao"	1384	2800	15766	3151	5397	Kilograms	10226	Kilograms	7900	2719	2550	6663	3800	6504	Kilograms	2690	800	3858	Kilograms	4849	Kilograms	2800	Kilograms	3600	680	400	
"Latvia"	381	641	126	110	0	Mixed	507	Kilograms	47860	40826	21	159	1342	22245	Kilograms	842	101375	1290	Kilograms	510	Kilograms	0	Mixed	536	873	345	
"Gibraltar"	0	140	0	460	60	Kilograms	350	Kilograms	290	0	100	0	290	111	Kilograms	0	0	321	Kilograms	180	Kilograms	390	Kilograms	0	0	310	
"Croatia"	411	1322	309	535	23127	Kilograms	300	Kilograms	453	293	218	228	312	11013	Kilograms	776	261	332	Kilograms	3261	Kilograms	341	Kilograms	230	235	296	
"Equatorial Guinea"	0	1760	0	120	551	Kilograms	0		2010	0	606	480	480	1755	Kilograms	403	410	1432	Kilograms	100	Kilograms	1726	Kilograms	345	0	190	
"Liberia"	0	310	0	0	0		0		165	0	250	0	0	0		250	0	0		0		0		300	0	165	
"Panama"	0	705	280	702	1800	Kilograms	0		0	1002	0	0	0	0		2514	0	170	Kilograms	170	Kilograms	0		0	0	120	
"Luxembourg"	2533	42	102	92	133	Kilograms	610	Kilograms	157	140	109	167	11850	11859	Kilograms	66	11820	395	Kilograms	437	Kilograms	147	Kilograms	848	129	117	
"Czech Republic"	24109	70	14492	20930	14425	Kilograms	15642	Kilograms	91024	57032	70848	64	5	0	Mixed	15052	25226	0		23996	Kilograms	1	Kilograms	51	23133	53	
"Qatar"	0	0	0	0	22000	Kilograms	0		0	0	30	181	23601	158	Kilograms	182	250	404	Kilograms	302	Kilograms	120	Kilograms	22089	119	51	
"Estonia"	286	1833	48	331	574	Kilograms	426	Kilograms	489	75	34	114	214	525	Kilograms	43	37	34	Kilograms	24	Kilograms	21	Kilograms	24	26	21	
"Falkland Islands (Malvinas)"	990	950	400	613	111	Kilograms	0		791	740	1217	700	0	100	Kilograms	560	0	105	Kilograms	0		2000	Kilograms	0	0	0	
"Finland"	61	48	13	47	17	Kilograms	0	Mixed	905	68	43	725	0	12	Kilograms	109	0	93	Kilograms	0	Mixed	13	Kilograms	5001	13	No Quantity	
"Eritrea"	0	300	0	0	0		0		0	0	0	0	0	0		250	0	600	Kilograms	0		0		0	751	0	
"Georgia"	0	0	22968	25000	0		0		0	0	0	0	0	0		3750	0	0		0		0		0	11600	0	
"Dominican Republic"	0	0	0	0	13440	Kilograms	0		0	13440	0	0	0	0		0	13440	0		0		0		13748	0	0	
"Cuba"	0	0	4960	0	0		3600	Kilograms	3600	0	0	2560	3000	0		3000	0	2560	Kilograms	0		0		0	0	0	
"Angola"	278	0	0	0	0		0		0	0	0	0	0	0		0	0	0		0		0		0	0	0	
"Antigua and Barbuda"	0	0	0	0	392	Kilograms	0		0	0	0	784	0	0		0	0	392	Kilograms	392	Kilograms	0		0	0	0	
"Australia"	0	22500	22500	0	0		0		0	3840	0	0	0	0		0	0	0		0		0		0	0	0	
"Bangladesh"	0	0	1568	0	0		0		1390	0	0	0	0	0		720	0	0		0		0		0	500	0	
"Bosnia and Herzegovina"	0	0	0	0	0		0		0	0	0	0	0	0		0	0	0		108	Kilograms	90	Kilograms	90	3000	0	
